url,url_description
28672,A-Custom-Suspect
24643,Abortion
24585,Abused_Drugs
24586,Adult_Content
24631,Advanced_Malware_Payloads
24627,Advertisements
24651,Alcohol_and_Tobacco
24581,Auctions
24642,Bot_Networks
24579,Business_and_Economy
24628,Cheating
24577,Computer_Security
24580,Computer_and_Internet
24640,Content_Delivery_Networks
24583,Cult_and_Occult
24593,Dating
24590,Dead_Sites
24649,Dynamic_Content
24615,Educational_Institutions
24596,Entertainment
28673,Exceptions
24654,Fashion_and_Beauty
24578,Financial_Data_and_Services
24602,Gambling
24609,Games
24636,Government
24629,Gross
24608,Hacking
24621,Hate_and_Racism
24644,Health_and_Medicine
24587,Home_and_Garden
24613,Hunting_and_Fishing
24639,Illegal_or_Questionable
24653,Image_and_Video_Search
24591,Individual_Stock
24641,Internet_Communication
24626,Internet_Portals
24658,Internet_Watch_Foundation
24601,Job_Search
24624,Keyloggers_and_Monitoring
24620,Kids
24598,Legal
24599,Local_Information
24607,Marijuana
24588,Military
24656,Motor_Vehicles
24635,Music
24638,News_and_Media
28675,NoExceptions
24637,Nudity
24616,Online_Greeting
24650,Parked_Domain
24612,Pay_to_Surf
24606,Peer-to-Peer_File_Sharing
24622,Personal_Network_Storage_and_Backup
24597,Personals_and_Dating
24610,Philosophy
24632,Phishing_and_Other_Frauds
24652,Private_IP_Addresses
24633,Proxy_Avoidance
24619,Questionable
24576,Real_Estate
24655,Recreation_and_Hobbies
24604,Reference_and_Research
24595,Religion
24646,SPAM_URLs
24625,Search_Engines
24594,Sex_Education
24605,Shareware_and_Freeware
24582,Shopping
24589,Social_Networking
24614,Society_and_Lifestyles
24617,Sports
24634,Spyware_and_Adware
24600,Streaming_Media
24618,Swimsuits_and_Apparel
24592,Training_and_Tools
24603,Translation
24584,Travel
25573,Uncategorized
25574,Unknown
24623,Violence
24611,Weapons
24657,Web_Hosting
24630,Web_based_email

